candidat,id,erreur_inf,erreur_sup,rank,parti,nuance,img_url
Emmanuel Macron,20211112_bva,24.0538,29.9462,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Jean-Luc Mélenchon,20211112_bva,5.7521,9.2479,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Philippe Poutou,20211112_bva,0.3397,1.6603,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Fabien Roussel,20211112_bva,1.0709,2.9291,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Jean Lassalle,20211112_bva,0.6934,2.3066,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Anne Hidalgo,20211112_bva,3.5537,6.4463,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Yannick Jadot,20211112_bva,6.6493,10.3507,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Arnaud Montebourg,20211112_bva,1.0709,2.9291,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
François Asselineau,20211112_bva,0.0319,0.9681,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Nathalie Arthaud,20211112_bva,0.3397,1.6603,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Marine Le Pen,20211112_bva,23.0892,28.9108,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Xavier Bertrand,20211112_bva,12.6304,17.3696,4,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_xavier_bertrand.png
Nicolas Dupont-Aignan,20211112_bva,1.868,4.132,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Yannick Jadot,20211112_bva,6.1887,9.8113,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
