jours,date,ymin,ymean,ymax,candidat,nom,nom_abbr,parti,nuance,order
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
0,2021-09-02,6.413103540346788,8.469940038322616,10.526776536298424,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
1,2021-09-03,6.288933108056587,8.330357102186388,10.371781096316177,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
4,2021-09-06,5.934129459660519,7.9278238850276885,9.921518310394859,Anne Hidalgo,Hidalgo,A. Hidalgo,Parti socialiste,GAUC,1010
